Approximate Location,Poverty,PM2.5,Asthma,Area Type
Los Angeles,18.5,11.67533374,24.21,Inner LA
Unincorporated Los Angeles County area,14.5,10.08304904,53.09,Outer LA
Los Angeles,15.8,10.79494027,38.66,Inner LA
Lakewood,10.4,11.84858192,127.45,Inner LA
Los Angeles,46.8,11.74779166,16.08,Inner LA
Cerritos,12.6,11.91939602,34.57,Inner LA
Beverly Hills,19.8,11.80254647,15.67,Inner LA
Santa Clarita,22.8,9.996792372,39.71,Outer LA
Monterey Park,45.9,12.00233411,17.76,Inner LA
Lomita,18.1,11.91367104,40.01,Inner LA
Los Angeles,9.5,11.35818212,48.91,Inner LA
Walnut,15.1,12.26873959,22.55,Inner LA
Torrance,24.7,11.9316356,52.35,Inner LA
Long Beach,11.5,11.59699651,23.8,Inner LA
Los Angeles,14.3,10.91904895,63.4,Inner LA
Los Angeles,18.1,11.89127311,37.5,Inner LA
Los Angeles,10.2,10.51287274,24.41,Inner LA
Rowland Heights,36.5,12.12767476,28.38,Inner LA
Hacienda Heights,25.4,11.97278589,41.15,Inner LA
Torrance,16.3,11.95522956,27.55,Inner LA
Los Angeles,20.0,11.47001272,46.18,Inner LA
Palmdale,56.7,8.085020981,96.08,Outer LA
Los Angeles,17.2,11.55263667,27.61,Inner LA
Lakewood,9.4,11.71684505,32.57,Inner LA
Los Angeles,22.4,11.699038,20.98,Inner LA
Torrance,21.5,12.01245967,35.45,Inner LA
Los Angeles,19.0,11.87271814,32.04,Inner LA
Santa Clarita,20.1,10.07294539,39.65,Outer LA
East Whittier,26.7,11.92158802,45.28,Inner LA
Long Beach,31.6,11.64728179,46.01,Inner LA
Los Angeles,22.6,11.49946691,36.14,Inner LA
Altadena,21.6,11.39128065,38.88,Inner LA
Santa Clarita,14.9,10.05476144,47.26,Outer LA
Los Angeles,25.8,11.70131556,26.62,Inner LA
Pasadena,32.5,11.04783104,30.67,Inner LA
Lakewood,12.7,11.74987106,31.38,Inner LA
Glendale,16.1,11.70423764,30.76,Inner LA
San Dimas,7.9,12.314841,46.53,Inner LA
Lakewood,19.0,11.62150813,33.59,Inner LA
Whittier,13.1,11.93946958,34.4,Inner LA
Los Angeles,7.3,11.89041869,26.79,Inner LA
Torrance,19.6,11.8979039,23.87,Inner LA
Los Angeles,17.6,11.71968263,21.29,Inner LA
Claremont,11.5,12.92486339,31.93,Inner LA
Los Angeles,14.7,11.03665977,29.0,Inner LA
Unincorporated Los Angeles County area,34.5,11.63003614,63.42,Outer LA
Walnut,17.6,12.17536434,22.59,Inner LA
Los Angeles,30.6,11.65656905,13.1,Inner LA
Lakewood,23.9,11.7740438,98.79,Inner LA
Cerritos,5.7,11.86959561,27.72,Inner LA
Torrance,15.7,11.87909496,25.49,Inner LA
Unincorporated Los Angeles County area,15.5,10.04262342,19.77,Outer LA
Los Angeles,19.5,11.85554635,31.63,Inner LA
Diamond Bar,17.3,12.38754597,25.42,Inner LA
East San Gabriel,33.2,11.70184498,17.77,Inner LA
Los Angeles,16.0,11.72305579,23.71,Inner LA
Torrance,17.4,11.90931561,30.47,Inner LA
Glendora,20.6,11.94310557,38.8,Inner LA
Los Angeles,19.3,11.78433174,22.21,Inner LA
Los Angeles,17.5,11.75489665,14.14,Inner LA
Cerritos,15.7,11.92472965,31.92,Inner LA
Palmdale,22.1,7.395298982,50.39,Outer LA
Altadena,28.0,11.29530355,42.66,Inner LA
Cerritos,17.0,11.88944363,38.96,Inner LA
Pasadena,27.1,10.90332114,19.88,Inner LA
Los Angeles,29.6,11.71588806,13.44,Inner LA
Los Angeles,33.7,11.73728992,24.88,Inner LA
Los Angeles,20.2,11.67734924,103.61,Inner LA
Santa Monica,24.9,11.74617518,24.34,Inner LA
Glendale,16.2,11.36531231,20.22,Inner LA
Lancaster,44.3,6.660219172,154.47,Outer LA
West Covina,16.6,12.06056612,38.73,Inner LA
Alhambra,23.6,11.39242682,28.98,Inner LA
Los Angeles,19.0,11.14626422,38.54,Inner LA
Pasadena,14.3,11.21810429,23.85,Inner LA
Long Beach,14.0,11.6560084,27.2,Inner LA
Pasadena,32.1,11.35864584,39.09,Inner LA
Mayflower Village,16.0,11.95304076,33.22,Inner LA
West Hollywood,20.9,11.7451443,27.21,Inner LA
Los Angeles,18.1,11.77107454,21.05,Inner LA
Los Angeles,11.4,12.01976856,45.2,Inner LA
Glendale,7.5,11.76547567,30.96,Inner LA
Quartz Hill,25.7,7.243753752,60.67,Outer LA
Los Angeles,10.5,11.90145406,26.69,Inner LA
Los Angeles,84.0,11.54279044,10.35,Inner LA
Los Angeles,9.5,11.96890818,59.55,Inner LA
Unincorporated Los Angeles County area,15.5,6.980416541,45.11,Outer LA
Pasadena,13.4,11.30302493,26.48,Inner LA
Torrance,11.4,11.87394388,26.09,Inner LA
San Gabriel,14.4,11.55081434,19.55,Inner LA
Los Angeles,10.7,11.22167655,52.54,Inner LA
Santa Clarita,17.0,9.850586503,24.89,Outer LA
Monterey Park,17.5,12.09716625,35.41,Inner LA
Unincorporated Los Angeles County area,18.5,9.704437269,20.96,Outer LA
Los Angeles,22.1,10.87528753,29.0,Inner LA
Los Angeles,24.0,11.69483322,36.55,Inner LA
Santa Monica,12.8,11.72139398,59.14,Inner LA
Los Angeles,16.3,11.59256118,28.65,Inner LA
Rowland Heights,19.6,12.17657329,25.99,Inner LA
Los Angeles,13.2,11.71620563,28.57,Inner LA
Los Angeles,18.2,11.77449393,30.71,Inner LA
Glendale,18.2,11.42099762,19.31,Inner LA
Long Beach,41.2,11.60712094,33.69,Inner LA
Los Angeles,18.7,11.57819697,20.89,Inner LA
Los Angeles,8.9,10.69531607,41.39,Inner LA
Torrance,16.6,11.84978232,30.7,Inner LA
La Mirada,18.8,11.94186195,27.88,Inner LA
Beverly Hills,14.9,11.7922658,31.1,Inner LA
Los Angeles,11.5,11.72971837,24.21,Inner LA
Quartz Hill,28.3,7.066875013,60.67,Outer LA
Unincorporated Los Angeles County area,35.0,5.78980373,45.88,Outer LA
Los Angeles,13.2,11.37082616,48.93,Inner LA
Lancaster,22.3,7.516040087,58.68,Outer LA
Unincorporated Los Angeles County area,31.3,8.201203979,76.92,Outer LA
Los Angeles,29.2,11.78676393,21.68,Inner LA
Los Angeles,33.9,11.74779166,14.71,Inner LA
Walnut,15.2,12.21273895,26.46,Inner LA
Burbank,14.3,11.53890555,34.83,Inner LA
Walnut,24.3,12.32124981,26.46,Inner LA
Marina del Rey,19.0,11.69453379,27.53,Inner LA
Los Angeles,18.7,11.7669605,14.99,Inner LA
Lakewood,9.9,11.6438093,34.4,Inner LA
Santa Clarita,13.7,9.895990017,18.52,Outer LA
La Mirada,18.5,12.01645709,35.39,Inner LA
Beverly Hills,18.8,11.71558023,33.03,Inner LA
Los Angeles,20.9,11.65891195,16.21,Inner LA
Long Beach,22.5,11.63961067,27.84,Inner LA
Los Angeles,17.0,11.01194549,22.91,Inner LA
Lakewood,18.6,11.74267889,28.05,Inner LA
Los Angeles,17.3,11.97046367,29.96,Inner LA
Pasadena,26.6,11.24230672,23.31,Inner LA
Long Beach,12.0,11.53224567,25.2,Inner LA
Los Angeles,19.9,10.27739389,38.78,Inner LA
West Hollywood,18.8,11.6943512,21.13,Inner LA
Los Angeles,19.5,11.69483322,34.49,Inner LA
Charter Oak,32.0,12.23742986,36.66,Inner LA
Los Angeles,20.3,11.24459686,34.3,Inner LA
Los Angeles,18.1,11.90127195,35.17,Inner LA
Los Angeles,16.1,10.95076564,52.54,Inner LA
Los Angeles,15.4,11.64254863,28.97,Inner LA
Los Angeles,4.7,10.94210448,51.44,Inner LA
Los Angeles,9.6,11.14759703,41.71,Inner LA
Long Beach,35.0,11.58107322,37.16,Inner LA
Walnut,27.2,12.11003917,26.46,Inner LA
Los Angeles,19.0,11.80798017,32.13,Inner LA
El Segundo,16.5,11.93026042,18.91,Inner LA
Rowland Heights,21.1,12.07486245,28.38,Inner LA
Los Angeles,16.3,11.64347745,32.14,Inner LA
Los Angeles,31.2,11.65400614,18.11,Inner LA
Los Angeles,12.9,11.65962976,26.75,Inner LA
Arcadia,34.5,11.84691327,21.41,Inner LA
Los Angeles,18.7,11.90155949,26.3,Inner LA
Redondo Beach,12.4,11.93838377,29.39,Inner LA
San Dimas,19.9,12.40710799,33.63,Inner LA
Santa Clarita,13.2,9.905727034,27.23,Outer LA
Redondo Beach,9.0,11.89517547,18.58,Inner LA
Los Angeles,8.2,11.36662201,27.4,Inner LA
South Pasadena,17.9,11.3985122,20.42,Inner LA
Los Angeles,19.2,11.66040963,34.49,Inner LA
Cerritos,20.9,11.89070824,30.53,Inner LA
Santa Clarita,21.7,9.939752588,29.04,Outer LA
Pasadena,18.5,10.81196096,20.98,Inner LA
Los Angeles,15.6,10.67639216,55.21,Inner LA
Unincorporated Los Angeles County area,15.4,9.922892997,31.71,Outer LA
Arcadia,13.7,11.79500895,19.82,Inner LA
Los Angeles,14.5,11.07405896,40.43,Inner LA
Torrance,18.3,11.85289322,23.61,Inner LA
Palmdale,32.7,7.804999738,79.73,Outer LA
Long Beach,5.1,11.62611756,25.18,Inner LA
Lake Los Angeles,59.8,6.737595691,135.82,Inner LA
